Time(s) | Temp   |  TDS   | Turbidity [V]       | MSE       | Verdict         | Conf | Reason
--------|--------|--------|---------------------|-----------|-----------------|------|-------------------------------

✓ System boot. Raw Autoencoder active. Context Engine pre-alpha.

    3  |  25.9C  |   202ppm  |     45NTU [2.602V]  |  MSE: 30.566  |   ALERT !!!   Conf: 80%  |  High MSE Threshold Alert
   81  |  25.4C  |   184ppm  |     45NTU [2.535V]  |  MSE: 27.510  |  [UNCERT]     Conf: 45%  |  Noisy baseline
   84  |  26.2C  |   197ppm  |     48NTU [3.119V]  |  MSE: 12.860  |  [UNCERT]     Conf: 66%  |  Noisy baseline
   87  |  25.9C  |   219ppm  |     27NTU [3.190V]  |  MSE: 37.781  |   ALERT !!!   Conf: 80%  |  High MSE Threshold Alert
   90  |  26.2C  |   219ppm  |     19NTU [2.938V]  |  MSE: 11.105  |  [UNCERT]     Conf: 44%  |  Noisy baseline
   93  |  26.5C  |   215ppm  |     48NTU [3.205V]  |  MSE: 43.181  |   ALERT !!!   Conf: 95%  |  High MSE Threshold Alert
   96  |  26.5C  |   219ppm  |     14NTU [3.082V]  |  MSE: 30.960  |   ALERT !!!   Conf: 88%  |  High MSE Threshold Alert
   99  |  25.6C  |   195ppm  |     28NTU [3.009V]  |  MSE: 42.498  |   ALERT !!!   Conf: 83%  |  High MSE Threshold Alert
  102  |  26.0C  |   192ppm  |     14NTU [2.833V]  |  MSE: 18.320  |  [UNCERT]     Conf: 62%  |  Noisy baseline
  105  |  25.1C  |   206ppm  |     43NTU [3.225V]  |  MSE: 11.490  |  [UNCERT]     Conf: 56%  |  Noisy baseline
  108  |  26.4C  |   186ppm  |     11NTU [3.146V]  |  MSE: 44.872  |   ALERT !!!   Conf: 91%  |  High MSE Threshold Alert
  111  |  25.5C  |   218ppm  |     41NTU [2.927V]  |  MSE: 37.852  |   ALERT !!!   Conf: 84%  |  High MSE Threshold Alert
  114  |  26.4C  |   220ppm  |     17NTU [2.769V]  |  MSE: 15.410  |  [UNCERT]     Conf: 47%  |  Noisy baseline
  117  |  25.2C  |   195ppm  |      1NTU [2.820V]  |  MSE: 11.354  |  [UNCERT]     Conf: 60%  |  Noisy baseline
  120  |  25.2C  |   187ppm  |     35NTU [3.188V]  |  MSE: 33.424  |   ALERT !!!   Conf: 82%  |  High MSE Threshold Alert
